"fdc_id","description","Calories","Carbohydrate","Protein","Fats","Sugars","sugar_was_estimated"
167667,"Restaurant, Chinese, egg rolls, assorted",1045,27.29,8.28,11.94,4.89,FALSE
167668,"Restaurant, Chinese, fried rice, without meat",174,32.79,4.05,2.96,0.56,FALSE
167669,"CRACKER BARREL, steak fries",255,30.87,3.26,13.18,0.86,FALSE
167670,"CRACKER BARREL, grilled sirloin steak",203,0,31.52,8.52,0,FALSE
167671,"CRACKER BARREL, macaroni n' cheese plate, from kid's menu",802,15.58,6.46,11.51,2.83,FALSE
167672,"DENNY'S, french fries",282,35.2,3.41,14.13,0.85,FALSE
167673,"DENNY'S, top sirloin steak",762,0.14,28.9,7.34,0.14,TRUE
167674,"Restaurant, Chinese, lemon chicken",1054,20.61,11.87,13.55,8.18,FALSE
167675,"Restaurant, Chinese, general tso's chicken",295,23.99,12.9,16.36,11.6,FALSE
167676,"Restaurant, Chinese, kung pao chicken",129,6.87,9.76,6.98,3.03,FALSE
167677,"Restaurant, Chinese, vegetable lo mein, without meat",506,20.16,4.77,2.35,2.63,FALSE
167678,"Restaurant, Chinese, chicken and vegetables",399,5.38,8.18,4.56,2.93,FALSE
167679,"Restaurant, Chinese, orange chicken",1096,22.46,14.46,12.68,13.6,FALSE
167680,"Restaurant, Italian, spaghetti with meat sauce",507,16.4,5.79,3.59,1.82,FALSE
167681,"Beverages, fruit-flavored drink, dry powdered mix, low calorie, with aspartame",912,87.38,0.45,0.04,17.48,TRUE
167682,"Pectin, liquid",46,2.1,0,0,1.58,TRUE
167683,"Frozen novelties, ice cream type, vanilla ice cream, light, no sugar added, chocolate coated",924,26.11,6.4,10.1,8.52,FALSE
167684,"Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie",160,7,1.5,14,5.65,FALSE
167685,"Bologna, beef and pork, low fat",962,2.6,11.5,19.3,1.95,TRUE
167686,"Milk dessert, frozen, milk-fat free, chocolate",699,37.7,4.3,1,37.7,FALSE
167687,"Whipped topping, frozen, low fat",224,23.6,3,13.1,23.6,FALSE
167688,"Cream substitute, powdered, light",1803,73.4,1.9,15.7,73.4,FALSE
167689,"Candies, MARS SNACKFOOD US, M&M's Peanut Butter Chocolate Candies",529,56.89,10.16,29.32,47.15,FALSE
167690,"Babyfood, apple yogurt dessert, strained",93,19.5,0.8,1.6,12.02,FALSE
167691,"Vegetable oil-butter spread, reduced calorie",1946,0,0,53,0,FALSE
167692,"Salad dressing, blue or roquefort cheese dressing, light",86,13.2,2.1,2.7,3.6,FALSE
167693,"Salad dressing, french dressing, reduced calorie",948,27,0.4,13,25.92,FALSE
167694,"Sausage, turkey and pork, fresh, bulk, patty or link, cooked",307,0.7,22.7,23,0.7,TRUE
167695,"Mayonnaise, made with tofu",1348,3.06,5.95,31.79,0.85,FALSE
167696,"Frankfurter, beef, low fat",585,1.6,12,9.5,0.85,FALSE
167697,"Milk, buttermilk, fluid, cultured, reduced fat",233,5.3,4.1,2,5.3,FALSE
167698,"Pork sausage rice links, brown and serve, cooked",1703,2.36,13.7,37.63,1.77,TRUE
167699,"Salad dressing, blue or roquefort cheese dressing, fat-free",115,25.6,1.52,1.01,7.44,FALSE
167700,"Salad Dressing, mayonnaise-like, fat-free",84,15.5,0.2,2.7,10.3,FALSE
167701,"Candies, MARS SNACKFOOD US, MILKY WAY Midnight Bar",443,71.22,3.2,17.5,57.81,FALSE
167702,"Oil, flaxseed, cold pressed",884,0,0.11,99.98,0,FALSE
167703,"Cheese, cottage, lowfat, 1% milkfat, lactose reduced",74,3.2,12.4,1,2.6,FALSE
167704,"Salad dressing, bacon and tomato",326,2,1.8,35,2,FALSE
167705,"Cheese, parmesan, low sodium",451,3.7,41.6,29.99,0.85,FALSE
167706,"Jams, preserves, marmalade, reduced sugar",633,37.6,0,0.1,29.41,FALSE
167707,"Beverages, fruit-flavored drink, powder, with high vitamin C with other added vitamins, low calorie",951,91,0.25,0.16,18.2,TRUE
167708,"Tomato and vegetable juice, low sodium",22,4.59,0.6,0.1,3.28,FALSE
167709,"Turkey, wing, smoked, cooked, with skin, bone removed",926,0,27.4,12.41,0,FALSE
167710,"Turkey, drumstick, smoked, cooked, with skin, bone removed",200,0,27.9,9.8,0,FALSE
167711,"Beverages, Chocolate-flavored drink, whey and milk based",49,10.68,0.64,0.4,8.68,FALSE
167712,"Pork, cured, bacon, cooked, broiled, pan-fried or roasted, reduced sodium",2262,1.43,37.04,41.78,1.43,TRUE
167713,"Turkey, light or dark meat, smoked, cooked, skin and bone removed",162,0,29.3,5,0,FALSE
167714,"Hearts of palm, raw",481,25.61,2.7,0.2,17.16,FALSE
167715,"Cereals ready-to-eat, POST, Shredded Wheat n' Bran, spoon-size",1416,80.65,10.93,2.06,0.75,FALSE
167716,"Cheese, cottage, lowfat, 1% milkfat, with vegetables",67,3,10.9,1,3,FALSE
167717,"Yeast extract spread",775,20.42,23.88,0.9,1.6,FALSE
167718,"Babyfood, juice, pear",43,11.86,0,0,7.28,FALSE
167719,"Chicken, meatless, breaded, fried",234,8.51,21.28,12.77,6.38,TRUE
167720,"Babyfood, meat, beef with vegetables, toddler",288,8.72,3.5,2.1,1.18,FALSE
167721,"Frozen novelties, juice type, juice with cream",480,24.11,1.41,1.41,20.61,FALSE
167722,"Tofu yogurt",394,15.96,3.5,1.8,1.24,FALSE
167723,"Alcoholic beverage, rice (sake)",134,5,0.5,0,3.75,TRUE
167724,"Millet, puffed",354,80,13,3.4,0.55,FALSE
167725,"Cereals ready-to-eat, OAT BRAN FLAKES, HEALTH VALLEY",1590,78,10,3,22,FALSE
167726,"Babyfood, mixed fruit yogurt, strained",75,16.23,0.8,0.8,11.74,FALSE
167727,"Beverages, ABBOTT, ENSURE PLUS, ready-to-drink",589,19.88,5.16,4.52,8.33,FALSE
167728,"Babyfood, rice and apples, dry",396,86.89,6.7,2.4,3.22,FALSE
167729,"Babyfood, juice, apple - cherry",197,11.2,0.2,0.1,10.5,FALSE
167730,"Milk, imitation, non-soy",191,5.3,1.6,2,5.3,FALSE
167731,"Babyfood, cereal, rice with pears and apple, dry, instant fortified",389,88.5,6.6,0.9,1.35,FALSE
167732,"Babyfood, banana no tapioca, strained",381,21.34,1,0.2,11.36,FALSE
167733,"Babyfood, banana apple dessert, strained",285,16.3,0.3,0.2,14.66,FALSE
167734,"Breakfast bar, corn flake crust with fruit",376,72.8,4.4,7.5,35.1,FALSE
167735,"Cheese, mozzarella, low sodium",280,3.1,27.5,17.1,1.23,FALSE
167736,"Mayonnaise dressing, no cholesterol",2879,0.3,0,77.8,0.3,FALSE
167737,"Oil, corn, peanut, and olive",884,0,0,100,0,FALSE
167738,"Pie fillings, blueberry, canned",181,44.38,0.41,0.2,37.75,FALSE
167739,"Beverages, Cocktail mix, non-alcoholic, concentrated, frozen",287,71.6,0.08,0.01,24.53,FALSE
167740,"Puddings, chocolate flavor, low calorie, regular, dry mix",365,74.42,10.08,3,0.7,FALSE
167741,"Puddings, all flavors except chocolate, low calorie, regular, dry mix",1470,86.04,1.6,0.1,2.9,FALSE
167742,"Mollusks, scallop, (bay and sea), cooked, steamed",111,5.41,20.54,0.84,4.06,TRUE
167743,"Syrup, Cane",1126,73.14,0,0,73.2,FALSE
167744,"Mollusks, snail, raw",377,2,16.1,1.4,2,TRUE
167745,"Turtle, green, raw",372,0,19.8,0.5,0,FALSE
167746,"Lemons, raw, without peel",121,9.32,1.1,0.3,2.5,FALSE
167747,"Lemon juice, raw",91,6.9,0.35,0.24,2.52,FALSE
167748,"Lemon juice from concentrate, canned or bottled",17,5.62,0.45,0.07,1.53,FALSE
167749,"Lemon peel, raw",47,16,1.5,0.3,4.17,FALSE
167750,"Prickly pears, raw",41,9.57,0.73,0.51,7.18,TRUE
167751,"Plums, dried (prunes), stewed, without added sugar",107,28.08,0.96,0.16,24.98,FALSE
167752,"Plums, dried (prunes), stewed, with added sugar",124,32.88,1.09,0.22,6.58,TRUE
167753,"Prune juice, canned",71,17.45,0.61,0.03,16.45,FALSE
167754,"Pummelo, raw",38,9.62,0.76,0.04,7.22,TRUE
167755,"Raspberries, raw",52,11.94,1.2,0.65,4.42,FALSE
167756,"Raspberries, canned, red, heavy syrup pack, solids and liquids",91,23.36,0.83,0.12,20.06,FALSE
167757,"Raspberries, frozen, red, sweetened",103,26.16,0.7,0.16,21.76,FALSE
167758,"Rhubarb, raw",21,4.54,0.9,0.2,1.1,FALSE
167759,"Sapodilla, raw",83,19.96,0.44,1.1,7.98,TRUE
